date,sentiment_mean,sentiment_squared_mean,sentiment_sqrt_mean,sentiment_with_prob
1/2/2020,-1.0,-1.0,-1.0,[-2.78 -1.22]
1/3/2020,-1.0,-1.0,-1.0,[-1.482 -0.518]
1/5/2020,0.304,0.272,0.319,[-0.464  2.464]
1/6/2020,-0.372,-0.43,-0.35,[-2.917  0.917]
1/7/2020,-0.28,-0.589,-0.18,[-1.753  0.753]
1/8/2020,0.123,0.178,0.073,[-1.708  1.708]
1/9/2020,-0.849,-0.854,-0.855,[-11.075  -1.925]
1/10/2020,-0.132,-0.049,-0.168,[-4.142  2.142]
1/11/2020,0.159,0.227,0.131,[-1.575  2.575]
1/12/2020,0.06,0.207,-0.016,[-2.525  1.525]
1/13/2020,-0.253,-0.16,-0.297,[-4.743  0.743]
1/14/2020,-0.727,-0.867,-0.625,[-1.774 -0.226]
1/15/2020,0.018,0.024,0.01,[-0.462  0.462]
1/16/2020,-0.113,-0.167,-0.096,[-3.17  2.17]
1/17/2020,-0.363,-0.135,-0.464,[-5.246  0.246]
1/18/2020,1.0,1.0,1.0,[1.624 4.376]
1/19/2020,-0.032,-0.088,-0.013,[-0.948  0.948]
1/20/2020,-0.554,-0.752,-0.442,[-1.118  0.118]
1/21/2020,-1.0,-1.0,-1.0,[-1.833 -0.167]
1/22/2020,0.233,0.442,0.118,[-0.589  0.589]
1/23/2020,-0.276,-0.322,-0.268,[-5.156  2.156]
1/24/2020,-0.392,-0.437,-0.365,[-2.379  0.379]
1/25/2020,-0.662,-0.76,-0.591,[-5.847 -0.153]
1/26/2020,0.491,0.39,0.545,[-0.175  3.175]
1/27/2020,0.24,0.165,0.284,[0.085 1.915]
1/28/2020,0.183,0.316,0.099,[-1.919  1.919]
1/30/2020,-0.321,-0.203,-0.386,[-4.939 -0.061]
1/31/2020,0.348,0.46,0.325,[-0.305  1.305]
2/1/2020,-1.0,-1.0,-1.0,[-1.483 -0.517]
2/2/2020,-0.681,-0.806,-0.653,[-4.153  0.153]
2/3/2020,0.153,0.03,0.236,[-0.568  2.568]
2/4/2020,-0.739,-0.784,-0.724,[-4.287 -0.713]
2/5/2020,0.045,0.09,0.023,[-0.716  0.716]
2/6/2020,0.244,0.32,0.216,[-0.719  1.719]
2/7/2020,-0.073,0.15,-0.154,[-1.653  0.653]
2/8/2020,-0.664,-0.815,-0.579,[-4.05  0.05]
2/9/2020,-0.381,-0.288,-0.411,[-9.237  0.237]
2/10/2020,-0.208,-0.373,-0.109,[-0.604  0.604]
2/11/2020,0.202,0.256,0.182,[-1.514  3.514]
2/13/2020,-0.049,-0.414,0.147,[-0.302  1.302]
2/14/2020,-1.0,-1.0,-1.0,[-1.772 -0.228]
2/15/2020,-1.0,-1.0,-1.0,[-1.473 -0.527]
2/16/2020,-0.22,-0.269,-0.206,[-1.67  0.67]
2/17/2020,-0.345,-0.616,-0.178,[-0.365  0.365]
2/18/2020,0.151,0.057,0.183,[-1.021  3.021]
2/19/2020,0.103,0.048,0.145,[-1.42  3.42]
2/20/2020,0.043,0.038,0.055,[-2.243  3.243]
2/21/2020,-0.607,-0.713,-0.553,[-2.232  0.232]
2/22/2020,0.152,0.101,0.176,[-0.537  1.537]
2/23/2020,-0.33,-0.421,-0.289,[-2.897  0.897]
2/24/2020,0.137,0.419,0.038,[-1.041  1.041]
2/25/2020,0.118,0.2,0.064,[-0.933  0.933]
2/26/2020,0.179,0.347,0.09,[-0.69  0.69]
2/27/2020,0.001,0.004,-0.0,[-1.06  1.06]
2/28/2020,-0.632,-0.744,-0.567,[-13.419   1.419]
2/29/2020,0.159,0.272,0.084,[-2.191  2.191]
3/1/2020,-0.403,-0.48,-0.31,[-4.393  2.393]
3/2/2020,-0.82,-0.854,-0.807,[-6.807 -1.193]
3/3/2020,-0.304,-0.308,-0.314,[-1.328  0.328]
3/4/2020,-0.073,-0.15,-0.036,[-1.304  1.304]
3/5/2020,0.135,0.149,0.158,[-0.659  1.659]
3/6/2020,-0.452,-0.281,-0.529,[-2.403 -0.597]
3/7/2020,-0.085,-0.175,-0.042,[-0.844  0.844]
3/8/2020,-1.0,-1.0,-1.0,[-3.488 -1.512]
3/9/2020,-0.191,-0.09,-0.258,[-2.323  0.323]
3/10/2020,-1.0,-1.0,-1.0,[-2.262 -0.738]
3/11/2020,-1.0,-1.0,-1.0,[-1.413 -0.587]
3/13/2020,0.167,0.323,0.084,[-1.367  1.367]
3/14/2020,-0.683,-0.674,-0.695,[-3.664 -1.336]
3/15/2020,0.157,0.306,0.079,[-0.664  0.664]
3/16/2020,0.652,0.848,0.507,[-0.048  1.048]
3/17/2020,-0.865,-0.928,-0.824,[-5.962 -1.038]
3/18/2020,-0.359,-0.389,-0.344,[-8.345  2.345]
3/19/2020,0.258,0.086,0.374,[-0.224  2.224]
3/20/2020,0.289,0.427,0.235,[-0.786  1.786]
3/21/2020,-1.0,-1.0,-1.0,[-1.175 -0.825]
3/22/2020,-0.1,-0.048,-0.143,[-1.461  0.461]
3/23/2020,0.143,0.281,0.072,[-0.764  0.764]
3/24/2020,0.447,0.619,0.333,[-1.104  2.104]
3/25/2020,-0.625,-0.774,-0.554,[-3.757 -0.243]
3/26/2020,0.152,0.203,0.143,[-1.34  2.34]
3/27/2020,1.0,1.0,1.0,[0.946 4.054]
3/28/2020,-0.297,-0.398,-0.248,[-2.145  1.145]
3/29/2020,1.0,1.0,1.0,[1.027 2.973]
3/30/2020,0.084,0.102,0.051,[-0.846  0.846]
3/31/2020,0.095,0.21,0.045,[-1.715  1.715]
4/1/2020,-0.284,-0.161,-0.353,[-3.105  0.105]
4/2/2020,-0.174,-0.118,-0.189,[-1.549  0.549]
4/3/2020,1.0,1.0,1.0,[0.41 2.59]
4/4/2020,-0.113,-0.077,-0.082,[-1.158  1.158]
4/5/2020,0.064,0.128,0.032,[-0.477  0.477]
