date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
1/3/2020,1.0,1.0,0.999,0.173,0.172,0.173
1/4/2020,-1.0,-1.0,-0.999,-0.618,-0.624,-0.614
1/5/2020,1.0,1.0,0.999,0.191,0.172,0.201
1/6/2020,1.0,1.0,0.999,0.453,0.478,0.439
1/7/2020,-0.561,-0.618,-0.531,-0.433,-0.466,-0.416
1/8/2020,1.0,1.0,0.999,0.497,0.439,0.527
1/9/2020,0.623,0.686,0.59,0.399,0.429,0.382
1/10/2020,0.655,0.733,0.623,0.042,0.039,0.048
1/12/2020,-0.388,-0.547,-0.344,-0.148,-0.36,-0.072
1/13/2020,0.072,0.151,0.035,-0.179,-0.149,-0.193
1/14/2020,-0.677,-0.911,-0.451,-0.509,-0.658,-0.393
1/15/2020,0.275,0.574,0.127,-0.028,0.006,-0.043
1/16/2020,-0.315,-0.469,-0.222,-0.199,-0.306,-0.13
1/17/2020,0.598,0.703,0.547,0.243,0.235,0.245
1/18/2020,0.022,0.044,0.011,-0.33,-0.32,-0.334
1/20/2020,0.151,0.296,0.076,-0.168,-0.12,-0.193
1/21/2020,-0.605,-0.649,-0.595,-0.285,-0.289,-0.279
1/23/2020,-0.054,-0.278,0.038,-0.063,-0.147,-0.017
1/24/2020,0.42,0.632,0.304,0.225,0.322,0.163
1/26/2020,1.0,1.0,0.999,0.712,0.721,0.707
1/27/2020,-0.634,-0.739,-0.591,-0.281,-0.337,-0.256
1/28/2020,-0.69,-0.73,-0.676,-0.314,-0.367,-0.294
1/29/2020,0.5,0.538,0.462,0.338,0.39,0.306
1/30/2020,-0.395,-0.748,-0.184,-0.47,-0.702,-0.327
1/31/2020,0.178,0.344,0.089,0.268,0.414,0.191
2/1/2020,0.405,0.696,0.212,-0.005,0.034,-0.031
2/2/2020,0.085,0.174,-0.012,-0.055,-0.113,-0.042
2/3/2020,0.126,0.092,0.129,-0.081,-0.102,-0.084
2/4/2020,0.396,0.59,0.276,0.211,0.321,0.147
2/5/2020,-0.027,-0.007,-0.021,0.026,0.031,0.031
2/6/2020,-0.178,-0.085,-0.247,-0.046,-0.025,-0.062
2/7/2020,-0.066,-0.203,0.032,0.097,0.036,0.144
2/8/2020,0.291,0.25,0.312,0.337,0.316,0.347
2/9/2020,0.584,0.691,0.536,0.295,0.288,0.304
2/10/2020,-0.123,-0.272,-0.057,-0.063,-0.154,-0.025
2/11/2020,0.173,0.244,0.127,0.096,0.093,0.099
2/12/2020,0.126,0.201,0.068,-0.056,-0.036,-0.07
2/13/2020,0.084,0.166,0.042,0.076,0.096,0.066
2/14/2020,-0.026,0.037,-0.077,0.08,0.088,0.069
2/15/2020,0.234,0.157,0.281,0.033,-0.022,0.067
2/16/2020,0.492,0.465,0.498,0.17,0.119,0.194
2/17/2020,0.418,0.712,0.219,0.225,0.313,0.166
2/18/2020,1.0,1.0,1.0,0.506,0.49,0.518
2/19/2020,0.148,0.092,0.177,0.147,0.168,0.132
2/20/2020,-0.217,-0.419,-0.11,-0.1,-0.298,-0.001
2/21/2020,-0.158,-0.078,-0.184,-0.019,0.019,-0.033
2/22/2020,1.0,1.0,0.999,0.515,0.563,0.49
2/23/2020,0.102,0.312,-0.015,-0.114,-0.097,-0.119
2/24/2020,0.151,0.069,0.228,-0.012,-0.03,0.007
2/25/2020,0.623,0.581,0.645,0.427,0.379,0.451
2/26/2020,-0.109,-0.214,-0.055,0.101,0.041,0.131
2/27/2020,0.486,0.477,0.492,0.477,0.448,0.491
2/28/2020,-0.347,-0.593,-0.15,0.109,0.032,0.161
2/29/2020,0.527,0.598,0.507,0.338,0.399,0.31
3/1/2020,-0.529,-0.496,-0.573,-0.393,-0.43,-0.388
3/2/2020,-0.051,-0.129,-0.056,-0.139,-0.235,-0.102
3/3/2020,0.1,0.197,0.05,-0.254,-0.212,-0.275
3/4/2020,0.404,0.475,0.368,0.132,0.201,0.097
3/6/2020,0.844,0.924,0.785,0.652,0.685,0.623
3/7/2020,0.269,0.219,0.299,-0.015,-0.053,0.007
3/10/2020,0.026,0.052,0.013,0.119,0.137,0.11
3/11/2020,-0.436,-0.299,-0.516,0.083,0.155,0.037
3/12/2020,-0.041,-0.122,-0.014,0.131,0.026,0.18
3/13/2020,0.315,-0.043,0.502,0.318,0.203,0.376
3/14/2020,-0.699,-0.773,-0.654,-0.374,-0.422,-0.347
3/15/2020,0.055,0.011,0.082,-0.009,-0.013,-0.006
3/16/2020,-0.161,-0.023,-0.243,-0.143,-0.11,-0.165
3/17/2020,0.656,0.814,0.567,0.58,0.711,0.492
3/18/2020,0.336,0.447,0.271,0.305,0.372,0.27
3/19/2020,0.631,0.648,0.642,0.502,0.572,0.472
3/20/2020,-0.163,-0.566,0.039,-0.076,-0.244,0.009
3/21/2020,-0.14,0.105,-0.282,0.075,0.205,-0.003
3/22/2020,-0.419,-0.587,-0.295,-0.275,-0.366,-0.208
3/23/2020,0.693,0.791,0.644,0.329,0.337,0.327
3/24/2020,0.197,0.154,0.223,0.204,0.179,0.217
3/26/2020,0.194,0.374,0.098,-0.142,-0.024,-0.204
3/28/2020,1.0,1.0,0.999,0.283,0.298,0.276
3/29/2020,-0.232,-0.64,0.047,0.008,-0.077,0.067
3/30/2020,-0.298,-0.335,-0.306,-0.074,-0.144,-0.043
3/31/2020,0.397,0.546,0.286,0.108,0.218,0.034
4/1/2020,-0.211,-0.173,-0.22,-0.058,-0.051,-0.055
4/2/2020,0.036,0.043,0.044,-0.043,-0.03,-0.046
4/3/2020,0.074,0.099,0.045,0.166,0.189,0.147
4/4/2020,-0.429,-0.402,-0.458,-0.178,-0.141,-0.209
4/5/2020,1.0,1.0,0.999,0.708,0.699,0.713
4/6/2020,-0.226,-0.292,-0.208,-0.217,-0.217,-0.226
4/8/2020,-0.199,-0.632,0.072,-0.184,-0.556,0.051
4/9/2020,0.285,0.307,0.278,0.15,0.168,0.141
4/10/2020,0.163,0.032,0.22,0.084,0.036,0.104
4/11/2020,0.048,0.071,0.027,0.022,0.102,-0.03
4/12/2020,0.675,0.847,0.578,0.214,0.402,0.101
4/13/2020,1.0,1.0,0.999,0.69,0.683,0.694
4/15/2020,0.642,0.706,0.618,0.495,0.494,0.498
4/16/2020,-1.0,-1.0,-0.999,-0.479,-0.426,-0.506
4/17/2020,0.348,0.643,0.173,-0.066,-0.016,-0.099
4/18/2020,-1.0,-1.0,-0.999,-0.383,-0.402,-0.37
4/19/2020,0.099,0.196,0.05,-0.012,0.03,-0.032
4/20/2020,0.825,0.951,0.718,0.332,0.27,0.335
4/21/2020,-0.304,-0.398,-0.253,0.011,-0.049,0.041
4/22/2020,0.207,0.076,0.271,0.148,0.047,0.199
4/23/2020,0.6,0.667,0.589,0.314,0.422,0.288
4/24/2020,-0.546,-0.784,-0.364,-0.217,-0.339,-0.122
4/25/2020,0.252,0.322,0.223,0.068,0.101,0.055
4/26/2020,-0.126,-0.229,-0.067,-0.238,-0.399,-0.138
4/27/2020,-1.0,-1.0,-0.999,-0.563,-0.591,-0.544
4/28/2020,0.085,0.411,-0.046,0.054,0.148,0.019
