,FB,,,,AAPL,,,,,,AMZN,,,,,NFLX,,,,,GOOGL,,,,,TSLA,,,,
Date,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
1/2/2020,206.75,209.79,206.27,209.78,12077100,73.55,74.64,73.29,74.57,135480400,1875,1898.01,1864.15,1898.01,4029000,326.1,329.98,324.78,329.81,4485800,1348.41,1368.68,1346.49,1368.68,1363900,84.9,86.14,84.34,86.05,47660500
1/3/2020,207.21,210.4,206.95,208.67,11188400,73.78,74.63,73.62,73.85,146322800,1864.5,1886.2,1864.5,1874.97,3764400,326.78,329.86,325.53,325.9,3806900,1348,1373.75,1347.32,1361.52,1170400,88.1,90.8,87.38,88.6,88892500
1/6/2020,206.7,212.78,206.52,212.6,17058900,72.94,74.48,72.69,74.44,118387200,1860,1903.69,1860,1902.88,4061800,323.12,336.36,321.2,335.83,5663100,1351.63,1398.32,1351,1397.81,2338400,88.09,90.31,88,90.31,50665000
1/7/2020,212.82,214.58,211.75,213.06,14912400,74.45,74.71,73.86,74.09,108872000,1904.5,1913.89,1892.04,1906.86,4044900,336.47,336.7,330.3,330.75,4703200,1400.46,1403.5,1391.56,1395.11,1716500,92.28,94.33,90.67,93.81,89410500
1/8/2020,213,216.24,212.61,215.22,13475000,73.78,75.59,73.78,75.28,132079200,1898.04,1911,1886.44,1891.97,3508000,331.49,342.7,331.05,339.26,7104500,1394.82,1411.85,1392.63,1405.04,1765700,94.74,99.7,93.65,98.43,155721500
1/9/2020,217.54,218.38,216.28,218.3,12642800,76.28,77.08,76.03,76.88,170108400,1909.89,1917.82,1895.8,1901.05,3167300,342,343.42,334.61,335.66,4709300,1421.93,1428.68,1410.21,1419.79,1660000,99.42,99.76,94.57,96.27,142202000
1/10/2020,219.2,219.88,217.42,218.06,12119400,77.12,77.63,76.53,77.05,140644800,1905.37,1906.94,1880,1883.16,2853700,337.13,338.5,327.27,329.05,4718300,1429.47,1434.94,1419.6,1428.96,1312900,96.36,96.99,94.74,95.63,64797500
1/13/2020,219.6,221.97,219.21,221.91,14463400,77.38,78.72,77.25,78.7,121532000,1891.31,1898,1880.8,1891.3,2780800,331.8,340.85,331.51,338.92,6290000,1435.25,1441.48,1425.37,1440.03,1536500,98.7,105.13,98.4,104.97,132588000
1/14/2020,221.61,222.38,218.63,219.06,13288900,78.63,78.85,77.51,77.63,161954400,1885.88,1887.11,1858.55,1869.44,3440900,344.4,345.38,335.52,338.69,7199400,1440,1442.63,1427.77,1430.59,1303800,108.85,109.48,104.98,107.58,144981000
