date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
1/3/2020,1.0,1.0,0.999,0.494,0.542,0.468
1/4/2020,1.0,1.0,0.999,0.407,0.403,0.409
1/5/2020,1.0,1.0,0.999,0.303,0.31,0.299
1/6/2020,-1.0,-1.0,-0.999,-0.698,-0.711,-0.69
1/7/2020,0.41,0.358,0.45,0.362,0.384,0.348
1/8/2020,-0.2,-0.242,-0.174,-0.108,-0.162,-0.078
1/9/2020,-0.47,-0.354,-0.534,-0.274,-0.283,-0.27
1/10/2020,0.137,0.222,0.075,0.39,0.466,0.333
1/11/2020,0.429,0.289,0.512,0.256,0.202,0.279
1/12/2020,-1.0,-1.0,-1.0,-0.417,-0.42,-0.416
1/13/2020,0.341,0.287,0.403,-0.143,-0.188,-0.088
1/14/2020,-0.768,-0.831,-0.738,-0.416,-0.459,-0.39
1/16/2020,0.197,0.189,0.199,-0.022,-0.023,-0.022
1/17/2020,-0.533,-0.737,-0.426,-0.26,-0.361,-0.203
1/18/2020,-0.184,-0.026,-0.26,0.072,0.188,0.015
1/19/2020,0.023,-0.037,0.028,-0.184,-0.212,-0.174
1/20/2020,0.221,0.363,0.161,0.252,0.306,0.227
1/21/2020,-0.018,-0.035,-0.009,0.045,0.081,0.022
1/22/2020,0.461,0.639,0.342,0.311,0.403,0.242
1/23/2020,-0.021,0.026,-0.092,-0.03,-0.047,-0.04
1/24/2020,0.55,0.619,0.522,0.614,0.67,0.592
1/26/2020,-0.515,-0.545,-0.505,-0.171,-0.194,-0.16
1/27/2020,0.002,-0.01,0.003,0.028,-0.012,0.047
1/28/2020,0.264,0.272,0.24,0.116,0.16,0.08
1/29/2020,-0.548,-0.59,-0.545,-0.167,-0.17,-0.171
1/30/2020,0.096,0.146,0.055,0.042,0.038,0.039
1/31/2020,0.494,0.511,0.493,0.185,0.194,0.181
2/1/2020,0.311,0.567,0.159,-0.151,-0.093,-0.184
2/2/2020,0.173,0.47,0.013,0.107,0.275,0.023
2/3/2020,0.103,0.239,0.043,0.087,0.121,0.064
2/4/2020,-0.188,-0.364,-0.095,-0.31,-0.389,-0.268
2/5/2020,0.306,0.274,0.32,0.163,0.16,0.162
2/6/2020,-0.038,0.042,-0.088,-0.035,-0.021,-0.044
2/7/2020,0.235,0.424,0.123,0.374,0.475,0.316
2/8/2020,0.039,-0.007,0.072,0.154,0.108,0.185
2/9/2020,-1.0,-1.0,-0.999,-0.805,-0.818,-0.798
2/10/2020,-1.0,-1.0,-0.999,-0.536,-0.488,-0.561
2/11/2020,0.5,0.675,0.369,0.46,0.569,0.369
2/13/2020,0.618,0.734,0.558,0.526,0.56,0.509
2/15/2020,0.444,0.388,0.472,0.223,0.205,0.232
2/16/2020,1.0,1.0,0.999,0.593,0.555,0.63
2/17/2020,-0.144,0.351,-0.391,-0.061,0.207,-0.184
2/18/2020,0.44,0.475,0.431,0.258,0.291,0.242
2/19/2020,0.872,0.936,0.84,0.359,0.305,0.379
2/20/2020,0.047,0.28,-0.076,0.134,0.191,0.102
2/21/2020,0.64,0.831,0.5,0.532,0.69,0.417
2/22/2020,-0.006,-0.293,0.161,-0.11,-0.253,-0.034
2/23/2020,0.386,0.439,0.359,0.239,0.252,0.234
2/24/2020,0.195,0.24,0.169,0.154,0.182,0.136
2/25/2020,-1.0,-1.0,-0.999,-0.34,-0.335,-0.342
2/26/2020,0.222,0.137,0.274,-0.126,-0.186,-0.089
2/27/2020,-1.0,-1.0,-0.999,-0.502,-0.49,-0.508
2/28/2020,-0.001,0.292,-0.167,0.038,0.206,-0.063
2/29/2020,-1.0,-1.0,-0.999,-0.704,-0.766,-0.639
3/1/2020,-0.465,-0.63,-0.391,-0.436,-0.559,-0.373
3/2/2020,-0.032,-0.011,-0.024,0.163,0.189,0.154
3/3/2020,1.0,1.0,0.999,0.634,0.692,0.605
3/4/2020,-0.2,-0.231,-0.196,-0.217,-0.251,-0.202
3/5/2020,-1.0,-1.0,-0.999,-0.344,-0.314,-0.362
3/6/2020,1.0,1.0,0.999,0.793,0.805,0.785
3/7/2020,0.52,0.596,0.501,0.221,0.156,0.266
3/8/2020,1.0,1.0,0.999,0.544,0.614,0.474
3/10/2020,0.541,0.681,0.446,0.265,0.35,0.209
3/11/2020,-1.0,-1.0,-0.999,-0.253,-0.245,-0.257
3/13/2020,1.0,1.0,0.999,0.404,0.457,0.373
3/14/2020,-0.606,-0.787,-0.481,-0.355,-0.481,-0.266
3/15/2020,0.32,0.58,0.164,0.623,0.749,0.548
3/16/2020,0.078,0.432,-0.128,-0.253,-0.116,-0.331
3/17/2020,0.341,0.396,0.331,0.069,0.041,0.089
3/18/2020,0.278,0.516,0.142,0.28,0.437,0.189
3/19/2020,-1.0,-1.0,-0.999,-0.792,-0.811,-0.781
3/20/2020,-0.399,-0.688,-0.208,0.077,-0.111,0.201
3/22/2020,0.276,0.22,0.304,0.156,0.153,0.158
3/23/2020,0.727,0.871,0.623,0.353,0.393,0.322
3/24/2020,0.514,0.813,0.276,0.598,0.792,0.443
3/25/2020,1.0,1.0,0.999,0.537,0.583,0.504
3/26/2020,-0.068,-0.135,-0.034,0.283,0.252,0.299
3/30/2020,-0.022,0.235,-0.124,0.136,0.267,0.082
3/31/2020,0.097,0.418,-0.016,0.114,0.231,0.077
4/1/2020,-0.669,-0.621,-0.676,-0.31,-0.307,-0.306
4/2/2020,-0.366,-0.336,-0.377,-0.116,-0.092,-0.129
